Toy #,Col.#,Model Name,Series,Series #,Photo
JBB45,240,'20 Dodge Charger Hellcat,Muscle Mania,9/10,
JBC47,240,'20 Dodge Charger Hellcat,Muscle Mania Super Treasure Hunt,9/10,
JBB46,241,Mo-Stash,HW Celebration Racers Movember,10/10,
HYW58,242,El Segundo Rallye,HW Track Champs New for 2025!,4/5,
JBB47,243,Mazda RX-3,Peak Pursuit,8/10,
HYW56,244,Gone Mad,HW Wagons New for 2025!,4/5,
JBB48,245,BMW M3 Wagon,HW Wagons,5/5,
JBC48,245,BMW M3 Wagon,HW Wagons Super Treasure Hunt,5/5,
JBC33,246,'84 Audi Sport quattro,Wild Widebody Treasure Hunt,5/5,
JBB49,247,Ford RS200,Peak Pursuit New in Mainline,9/10,
JBC49,247,Ford RS200,Peak Pursuit New in Mainline Super Treasure Hunt,9/10,
JJM43,247,Ford RS200 (2nd Color),Peak Pursuit New in Mainline Dollar General Exclusive,9/10,
HYW29,248,Polestar TRX,Peak Pursuit New for 2025!,10/10,
JBC34,249,Triumph TR6,HW Track Champs Treasure Hunt,5/5,
HYW53,250,1983 Porsche 928S,Muscle Mania New for 2025!,10/10,
JJM42,250,1983 Porsche 928S (2nd Color),Muscle Mania New for 2025! Dollar General Exclusive,10/10,
